# IdName | Kind | Type  (Type: Tech, Dirt, Ice, Water, Plastic, Grass, Snow, Rally, Bump, Scenery, Other)
SnowRoadStraight | Track | Snow
DecoCliff8IceNoHillStraight | Scenery | Ice
DecoCliff8IceNoHillDiagOutSmallSimpleFull | Scenery | Ice
DecoCliff8IceNoHillDiagOutSmallSimple | Scenery | Ice
DecoCliff8IceNoHillDiagOutSmallFull | Scenery | Ice
DecoCliff8IceNoHillDiagOutSmall | Scenery | Ice
DecoCliff8IceNoHillDiagOutSimpleFull | Scenery | Ice
DecoCliff8IceNoHillDiagOutSimple | Scenery | Ice
DecoCliff8IceNoHillDiagOutFull | Scenery | Ice
DecoCliff8IceNoHillDiagOut | Scenery | Ice
DecoCliff8IceNoHillDiagInSmallSimpleFull | Scenery | Ice
DecoCliff8IceNoHillDiagInSmallSimple | Scenery | Ice
DecoCliff8IceNoHillDiagInSmallFull | Scenery | Ice
DecoCliff8IceNoHillDiagInSmall | Scenery | Ice
DecoCliff8IceNoHillDiagInSimpleFull | Scenery | Ice
DecoCliff8IceNoHillDiagInSimple | Scenery | Ice
DecoCliff8IceNoHillDiagInFull | Scenery | Ice
DecoCliff8IceNoHillDiagIn | Scenery | Ice
DecoCliff8IceNoHillCornerOutSimple | Scenery | Ice
DecoCliff8IceNoHillCornerOut | Scenery | Ice
DecoCliff8IceNoHillCornerInSmallSimple | Scenery | Ice
DecoCliff8IceNoHillCornerInSmall | Scenery | Ice
DecoCliff8IceNoHillCornerInSimple | Scenery | Ice
DecoCliff8IceNoHillCornerIn | Scenery | Ice
DecoCliff8DirtNoHillStraightSmallSimple | Scenery | Dirt
DecoCliff8DirtNoHillStraightSmall | Scenery | Dirt
DecoCliff8DirtNoHillStraightSimple | Scenery | Dirt
DecoCliff8DirtNoHillStraight | Scenery | Dirt
DecoCliff8DirtNoHillDiagOutSmallSimpleFull | Scenery | Dirt
DecoCliff8DirtNoHillDiagOutSmallSimple | Scenery | Dirt
DecoCliff8DirtNoHillDiagOutSmallFull | Scenery | Dirt
DecoCliff8DirtNoHillDiagOutSmall | Scenery | Dirt
DecoCliff8DirtNoHillDiagOutSimpleFull | Scenery | Dirt
DecoCliff8DirtNoHillDiagOutSimple | Scenery | Dirt
DecoCliff8DirtNoHillDiagOutFull | Scenery | Dirt
DecoCliff8DirtNoHillDiagOut | Scenery | Dirt
DecoCliff8DirtNoHillDiagInSmallSimpleFull | Scenery | Dirt
DecoCliff8DirtNoHillDiagInSmallSimple | Scenery | Dirt
DecoCliff8DirtNoHillDiagInSmallFull | Scenery | Dirt
DecoCliff8DirtNoHillDiagInSmall | Scenery | Dirt
DecoCliff8DirtNoHillDiagInSimpleFull | Scenery | Dirt
DecoCliff8DirtNoHillDiagInSimple | Scenery | Dirt
DecoCliff8DirtNoHillDiagInFull | Scenery | Dirt
DecoCliff8DirtNoHillDiagIn | Scenery | Dirt
DecoCliff8DirtNoHillCornerOutSimple | Scenery | Dirt
DecoCliff8DirtNoHillCornerOut | Scenery | Dirt
DecoCliff8DirtNoHillCornerInSmallSimple | Scenery | Dirt
DecoCliff8DirtNoHillCornerInSmall | Scenery | Dirt
DecoCliff8DirtNoHillCornerInSimple | Scenery | Dirt
DecoCliff8DirtNoHillCornerIn | Scenery | Dirt
DecoCliff10StraightSmallSimple | Scenery | Scenery
DecoCliff10StraightSmall | Scenery | Scenery
DecoCliff10StraightSimple | Scenery | Scenery
DecoCliff10Straight | Scenery | Scenery
DecoCliff10IceStraightSmallSimple | Scenery | Ice
DecoCliff10IceStraightSmall | Scenery | Ice
DecoCliff10IceStraightSimple | Scenery | Ice
DecoCliff10IceStraight | Scenery | Ice
DecoCliff10IceEndMirror | Scenery | Ice
DecoCliff10IceEnd | Scenery | Ice
DecoCliff10IceDiagOutSmallSimpleFull | Scenery | Ice
DecoCliff10IceDiagOutSmallSimple | Scenery | Ice
DecoCliff10IceDiagOutSmallFull | Scenery | Ice
DecoCliff10IceDiagOutSmall | Scenery | Ice
DecoCliff10IceDiagOutSimpleFull | Scenery | Ice
DecoCliff10IceDiagOutSimple | Scenery | Ice
DecoCliff10IceDiagOutFull | Scenery | Ice
DecoCliff10IceDiagOut | Scenery | Ice
DecoCliff10IceDiagInSmallSimple | Scenery | Ice
DecoCliff10IceDiagInSmall | Scenery | Ice
DecoCliff10IceDiagInSimpleFull | Scenery | Ice
DecoCliff10IceDiagInSimple | Scenery | Ice
DecoCliff10IceDiagInFull | Scenery | Ice
DecoCliff10IceDiagIn | Scenery | Ice
DecoCliff10IceCornerOutSimple | Scenery | Ice
DecoCliff10IceCornerOut | Scenery | Ice
DecoCliff10IceCornerInSmallSimple | Scenery | Ice
DecoCliff10IceCornerInSmall | Scenery | Ice
DecoCliff10IceCornerInSimple | Scenery | Ice
DecoCliff10IceCornerIn | Scenery | Ice
DecoCliff10EndMirror | Scenery | Scenery
DecoCliff10End | Scenery | Scenery
DecoCliff10DirtStraightSmallSimple | Scenery | Dirt
DecoCliff10DirtStraightSmall | Scenery | Dirt
DecoCliff10DirtStraightSimple | Scenery | Dirt
DecoCliff10DirtStraight | Scenery | Dirt
DecoCliff10DirtEndMirror | Scenery | Dirt
DecoCliff10DirtEnd | Scenery | Dirt
DecoCliff10DirtDiagOutSmallSimpleFull | Scenery | Dirt
DecoCliff10DirtDiagOutSmallSimple | Scenery | Dirt
DecoCliff10DirtDiagOutSmallFull | Scenery | Dirt
DecoCliff10DirtDiagOutSmall | Scenery | Dirt
DecoCliff10DirtDiagOutSimpleFull | Scenery | Dirt
DecoCliff10DirtDiagOutSimple | Scenery | Dirt
DecoCliff10DirtDiagOutFull | Scenery | Dirt
DecoCliff10DirtDiagOut | Scenery | Dirt
DecoCliff10DirtDiagInSmallSimple | Scenery | Dirt
DecoCliff10DirtDiagInSmall | Scenery | Dirt
DecoCliff10DirtDiagInSimpleFull | Scenery | Dirt
DecoCliff10DirtDiagInSimple | Scenery | Dirt
DecoCliff10DirtDiagInFull | Scenery | Dirt
DecoCliff10DirtDiagIn | Scenery | Dirt
DecoCliff10DirtCornerOutSimple | Scenery | Dirt
DecoCliff10DirtCornerOut | Scenery | Dirt
DecoCliff10DirtCornerInSmallSimple | Scenery | Dirt
DecoCliff10DirtCornerInSmall | Scenery | Dirt
DecoCliff10DirtCornerInSimple | Scenery | Dirt
DecoCliff10DirtCornerIn | Scenery | Dirt
DecoCliff10DiagOutSmallSimpleFull | Scenery | Scenery
DecoCliff10DiagOutSmallSimple | Scenery | Scenery
DecoCliff10DiagOutSmallFull | Scenery | Scenery
DecoCliff10DiagOutSmall | Scenery | Scenery
DecoCliff10DiagOutSimpleFull | Scenery | Scenery
DecoCliff10DiagOutSimple | Scenery | Scenery
DecoCliff10DiagOutFull | Scenery | Scenery
DecoCliff10DiagOut | Scenery | Scenery
DecoCliff10DiagInSmallSimple | Scenery | Scenery
DecoCliff10DiagInSmall | Scenery | Scenery
DecoCliff10DiagInSimpleFull | Scenery | Scenery
DecoCliff10DiagInSimple | Scenery | Scenery
DecoCliff10DiagInFull | Scenery | Scenery
DecoCliff10DiagIn | Scenery | Scenery
DecoCliff10CornerOutSimple | Scenery | Scenery
DecoCliff10CornerOut | Scenery | Scenery
DecoCliff10CornerInSmallSimple | Scenery | Scenery
DecoCliff10CornerInSmall | Scenery | Scenery
DecoCliff10CornerInSimple | Scenery | Scenery
DecoCliff10CornerIn | Scenery | Scenery
RoadWaterBranchTShaped | Track | Water
RoadTechBranchYShaped2X3 | Track | Tech
RoadTechBranchTShaped | Track | Tech
RoadIceBranchYShaped2X3 | Track | Ice
RoadDirtBranchYShaped2X3 | Track | Dirt
RallyCastleRoadBranchCross | Track | Rally
RoadWaterBranchCross | Track | Water
RoadTechBranchCross | Track | Tech
RoadWaterCurve1 | Track | Water
RoadTechCurve1 | Track | Tech
RallyCastleRoadCurve2 | Track | Rally
RoadWaterCurve2 | Track | Water
RoadTechCurve2 | Track | Tech
RallyCastleRoadCurve3 | Track | Rally
RoadWaterCurve3 | Track | Water
RoadTechCurve3 | Track | Tech
RoadWaterCurve5 | Track | Water
RoadWaterCurve4 | Track | Water
RoadTechCurve5 | Track | Tech
RoadTechCurve4 | Track | Tech
RoadTechBranchStraightX4Left | Track | Tech
RoadTechBranchStraightX4Right | Track | Tech
RoadTechBranchCurve3Right | Track | Tech
RoadTechBranchCurve3Left | Track | Tech
StructureTShaped | Scenery | Scenery
StructureSupportTShaped | Scenery | Scenery
StructureSupportStraight | Scenery | Scenery
StructureSupportDeadend | Scenery | Scenery
StructureSupportCurve3Out | Scenery | Scenery
StructureSupportCurve3In | Scenery | Scenery
StructureSupportCurve2Out | Scenery | Scenery
StructureSupportCurve2In | Scenery | Scenery
StructureSupportCurve1Out | Scenery | Scenery
StructureSupportCurve1In | Scenery | Scenery
StructureSupportCurve0Out | Scenery | Scenery
StructureSupportCross | Scenery | Scenery
StructureSupportCornerSmallDiag | Scenery | Scenery
StructureSupportCornerSmall | Scenery | Scenery
StructureSupportCorner | Scenery | Scenery
StructureStraight | Scenery | Scenery
StructureDeadend | Scenery | Scenery
StructureCross | Scenery | Scenery
StructureCorner | Scenery | Scenery
StructureBase | Scenery | Scenery
StageTechnicsLightStraight | Scenery | Scenery
StageTechnicsLightDeadend | Scenery | Scenery
RallyCastleRoadSlopeBase2x1 | Track | Rally
RallyCastleRoadSlopeBase | Track | Rally
RoadTechSlopeBase | Track | Tech
RoadTechSlopeBase2 | Track | Tech
RoadTechSlopeBase2x1 | Track | Tech
RallyCastleRoadSlopeStart2x1 | Track | Rally
RoadTechSlopeStart2x1 | Track | Tech
RallyCastleRoadSlopeStraight | Track | Rally
RoadTechSlopeStraight | Track | Tech
RoadTechSlopePenaltyIce | Track | Ice
RoadTechSlopePenaltyDirt | Track | Dirt
RoadTechSlopePenalty | Track | Tech
RoadTechSlopeHole | Track | Tech
RoadTechNarrowSlopeRight | Track | Tech
RoadTechNarrowSlopeLeft | Track | Tech
RoadTechNarrowSlopeCenter | Track | Tech
RoadDirtSlopePenaltyIce | Track | Dirt
RoadDirtSlopePenaltyDirt | Track | Dirt
RoadDirtSlopePenalty | Track | Dirt
RoadBumpSlopePenaltyIce | Track | Ice
RoadBumpSlopePenaltyDirt | Track | Dirt
RoadBumpSlopePenalty | Track | Bump
RallyCastleRoadSlopeEnd2x1 | Track | Rally
RoadTechSlopeEnd2x1 | Track | Tech
RallyCastleRoadSlopeUTop | Track | Rally
RoadTechSlopeUTop | Track | Tech
RallyCastleRoadSlopeUBottom | Track | Rally
RoadTechSlopeUBottom | Track | Tech
RallyCastleRoadSlopeUBottomInGround | Track | Rally
RoadTechSlopeUBottomInGround | Track | Tech
RoadTechSlopeUTopX2 | Track | Tech
RoadTechSlopeUBottomX2 | Track | Tech
RoadTechSlopeUBottomX2InGround | Track | Tech
SnowRoadTilt2Straight | Track | Snow
RoadTechTiltStraight | Track | Tech
RoadTechTiltPenaltyIce | Track | Ice
RoadTechTiltPenaltyDirt | Track | Dirt
RoadTechTiltPenalty | Track | Tech
RoadTechTiltHole | Track | Tech
RoadTechNarrowTiltRight | Track | Tech
RoadTechNarrowTiltLeft | Track | Tech
RoadTechNarrowTiltCenter | Track | Tech
RoadDirtTiltPenaltyIce | Track | Dirt
RoadDirtTiltPenaltyDirt | Track | Dirt
RoadDirtTiltPenalty | Track | Dirt
RoadBumpTiltPenaltyIce | Track | Ice
RoadBumpTiltPenaltyDirt | Track | Dirt
RoadBumpTiltPenalty | Track | Bump
SnowRoadTilt2SwitchLeftX2 | Track | Snow
SnowRoadTilt2SwitchLeft | Track | Snow
RoadTechTiltSwitchLeft | Track | Tech
SnowRoadTilt2SwitchRightX2 | Track | Snow
SnowRoadTilt2SwitchRight | Track | Snow
RoadTechTiltSwitchRight | Track | Tech
SnowRoadTilt2Curve1Out | Track | Snow
SnowRoadTilt2Curve1 | Track | Snow
RoadTechTiltCurve1Out | Track | Tech
RoadTechTiltCurve1 | Track | Tech
SnowRoadTilt2Curve2Out | Track | Snow
SnowRoadTilt2Curve2 | Track | Snow
RoadTechTiltCurve2Out | Track | Tech
RoadTechTiltCurve2 | Track | Tech
SnowRoadTilt2Curve3Out | Track | Snow
SnowRoadTilt2Curve3 | Track | Snow
RoadTechTiltCurve3Out | Track | Tech
RoadTechTiltCurve3 | Track | Tech
RoadTechTiltCurve4Out | Track | Tech
RoadTechTiltCurve4 | Track | Tech
SnowRoadTilt2Curve1DownLeft | Track | Snow
RoadTechTiltCurve1DownLeft | Track | Tech
SnowRoadTilt2Curve1DownRight | Track | Snow
RoadTechTiltCurve1DownRight | Track | Tech
SnowRoadTilt2Curve1UpLeft | Track | Snow
RoadTechTiltCurve1UpLeft | Track | Tech
SnowRoadTilt2Curve1UpRight | Track | Snow
RoadTechTiltCurve1UpRight | Track | Tech
SnowRoadTilt2Curve2DownLeft | Track | Snow
RoadTechTiltCurve2DownLeft | Track | Tech
SnowRoadTilt2Curve2DownRight | Track | Snow
RoadTechTiltCurve2DownRight | Track | Tech
SnowRoadTilt2Curve2UpLeft | Track | Snow
RoadTechTiltCurve2UpLeft | Track | Tech
SnowRoadTilt2Curve2UpRight | Track | Snow
RoadTechTiltCurve2UpRight | Track | Tech
SnowRoadTilt2Transition1UpLeft | Track | Snow
RoadTechTiltTransition1UpLeft | Track | Tech
SnowRoadTilt2Transition1Left | Track | Snow
SnowRoadTilt2Transition1DownLeft | Track | Snow
RoadTechTiltTransition1DownLeft | Track | Tech
SnowRoadTilt2Transition2UpLeft | Track | Snow
RoadTechTiltTransition2UpLeft | Track | Tech
SnowRoadTilt2Transition2Left | Track | Snow
SnowRoadTilt2Transition2DownLeft | Track | Snow
RoadTechTiltTransition2DownLeft | Track | Tech
SnowRoadTilt2Transition2UpLeftCurveIn | Track | Snow
RoadTechTiltTransition2UpLeftCurveIn | Track | Tech
SnowRoadTilt2Transition2DownLeftCurveIn | Track | Snow
RoadTechTiltTransition2DownLeftCurveIn | Track | Tech
SnowRoadTilt2Transition1UpRight | Track | Snow
RoadTechTiltTransition1UpRight | Track | Tech
SnowRoadTilt2Transition1Right | Track | Snow
SnowRoadTilt2Transition1DownRight | Track | Snow
RoadTechTiltTransition1DownRight | Track | Tech
SnowRoadTilt2Transition2UpRight | Track | Snow
RoadTechTiltTransition2UpRight | Track | Tech
SnowRoadTilt2Transition2Right | Track | Snow
SnowRoadTilt2Transition2DownRight | Track | Snow
RoadTechTiltTransition2DownRight | Track | Tech
SnowRoadTilt2Transition2UpRightCurveIn | Track | Snow
RoadTechTiltTransition2UpRightCurveIn | Track | Tech
SnowRoadTilt2Transition2DownRightCurveIn | Track | Snow
RoadTechTiltTransition2DownRightCurveIn | Track | Tech
RallyCastleRoadDiagLeftStraightX2 | Track | Rally
RoadTechDiagLeftStraightX2 | Track | Tech
RoadTechDiagLeftRampVeryHigh | Track | Tech
RoadTechDiagLeftRampMed | Track | Tech
RoadTechDiagLeftRampLow | Track | Tech
RoadTechDiagLeftRampHigh | Track | Tech
RoadTechDiagLeftPenaltyIce | Track | Ice
RoadTechDiagLeftPenaltyDirt | Track | Dirt
RoadTechDiagLeftPenalty | Track | Tech
RoadTechDiagLeftNarrowSide | Track | Tech
RoadTechDiagLeftNarrowCenter | Track | Tech
RoadTechDiagLeftHole | Track | Tech
RoadIceWithWallDiagLeftSwitchRight | Track | Ice
RoadIceWithWallDiagLeftSwitchLeft | Track | Ice
RoadIceDiagLeftWithWallStraight | Track | Ice
RoadIceWithWallDiagLeftPenaltyIce | Track | Ice
RoadIceWithWallDiagLeftPenaltyDirt | Track | Dirt
RoadIceWithWallDiagLeftPenalty | Track | Ice
RoadIceWithWallDiagLeftNarrowRight | Track | Ice
RoadIceWithWallDiagLeftNarrowLeft | Track | Ice
RoadIceWithWallDiagLeftNarrowCenter | Track | Ice
RoadIceWithWallDiagLeftHole | Track | Ice
RoadIceDiagLeftToRoadIceWithWallDiagRight | Track | Ice
RoadIceDiagLeftToRoadIceWithWallDiagLeft | Track | Ice
RallyCastleRoadDiagLeftStartStraightX2 | Track | Rally
RoadTechDiagLeftStartStraightX2 | Track | Tech
RoadIceWithWallDiagLeftStartStraightX2 | Track | Ice
RoadTechDiagLeftStartCurve1In | Track | Tech
RoadIceWithWallDiagLeftStartCurve1In | Track | Ice
RoadTechDiagLeftStartCurve2In | Track | Tech
RoadIceWithWallDiagLeftStartCurve2In | Track | Ice
RallyCastleRoadDiagRightChicaneRight | Track | Rally
RallyCastleRoadDiagRightChicaneLeft | Track | Rally
RallyCastleRoadDiagLeftStartCurve1Out | Track | Rally
RallyCastleRoadDiagLeftChicaneRight | Track | Rally
RallyCastleRoadDiagLeftChicaneLeft | Track | Rally
TrackWallDiagRightChicaneRight | Track | Tech
TrackWallDiagRightChicaneLeft | Track | Tech
TrackWallDiagLeftChicaneRight | Track | Tech
TrackWallDiagLeftChicaneLeft | Track | Tech
RoadTechDiagRightChicaneRight | Track | Tech
RoadTechDiagRightChicaneLeft | Track | Tech
RoadTechDiagLeftStartCurve1Out | Track | Tech
RoadTechDiagLeftChicaneRight | Track | Tech
RoadTechDiagLeftChicaneLeft | Track | Tech
RoadIceWithWallDiagLeftStartCurve1Out | Track | Ice
RoadIceDiagRightChicaneRight | Track | Ice
RoadIceDiagRightChicaneLeft | Track | Ice
RoadIceDiagLeftChicaneRight | Track | Ice
RoadIceDiagLeftChicaneLeft | Track | Ice
RoadDirtDiagRightChicaneRight | Track | Dirt
RoadDirtDiagRightChicaneLeft | Track | Dirt
RoadDirtDiagLeftChicaneRight | Track | Dirt
RoadDirtDiagLeftChicaneLeft | Track | Dirt
RoadBumpDiagRightChicaneRight | Track | Bump
RoadBumpDiagRightChicaneLeft | Track | Bump
RoadBumpDiagLeftChicaneRight | Track | Bump
RoadBumpDiagLeftChicaneLeft | Track | Bump
RallyCastleRoadDiagLeftStartCurve2Out | Track | Rally
RoadTechDiagLeftStartCurve2Out | Track | Tech
RoadIceWithWallDiagLeftStartCurve2Out | Track | Ice
RoadTechDiagLeftLoop6X | Track | Tech
RoadTechDiagLeftLoop11X | Track | Tech
RallyCastleRoadDiagRightStraightX2 | Track | Rally
RoadTechDiagRightStraightX2 | Track | Tech
RoadTechDiagRightRampVeryHigh | Track | Tech
RoadTechDiagRightRampMed | Track | Tech
RoadTechDiagRightRampLow | Track | Tech
RoadTechDiagRightRampHigh | Track | Tech
RoadTechDiagRightPenaltyIce | Track | Ice
RoadTechDiagRightPenaltyDirt | Track | Dirt
RoadTechDiagRightPenalty | Track | Tech
RoadTechDiagRightNarrowSide | Track | Tech
RoadTechDiagRightNarrowCenter | Track | Tech
RoadTechDiagRightHole | Track | Tech
RoadIceWithWallDiagRightSwitchRight | Track | Ice
RoadIceWithWallDiagRightSwitchLeft | Track | Ice
RoadIceDiagRightWithWallStraight | Track | Ice
RoadIceWithWallDiagRightPenaltyIce | Track | Ice
RoadIceWithWallDiagRightPenaltyDirt | Track | Dirt
RoadIceWithWallDiagRightPenalty | Track | Ice
RoadIceWithWallDiagRightNarrowRight | Track | Ice
RoadIceWithWallDiagRightNarrowLeft | Track | Ice
RoadIceWithWallDiagRightNarrowCenter | Track | Ice
RoadIceWithWallDiagRightHole | Track | Ice
RoadIceDiagRightToRoadIceWithWallDiagRight | Track | Ice
RoadIceDiagRightToRoadIceWithWallDiagLeft | Track | Ice
RallyCastleRoadDiagRightStartStraightX2 | Track | Rally
RoadTechDiagRightStartStraightX2 | Track | Tech
RoadIceWithWallDiagRightStartStraightX2 | Track | Ice
RoadTechDiagRightStartCurve1In | Track | Tech
RoadIceWithWallDiagRightStartCurve1In | Track | Ice
RoadTechDiagRightStartCurve2In | Track | Tech
RoadIceWithWallDiagRightStartCurve2In | Track | Ice
RallyCastleRoadDiagRightStartCurve1Out | Track | Rally
RoadTechDiagRightStartCurve1Out | Track | Tech
RoadIceWithWallDiagRightStartCurve1Out | Track | Ice
RallyCastleRoadDiagRightStartCurve2Out | Track | Rally
RoadTechDiagRightStartCurve2Out | Track | Tech
RoadIceWithWallDiagRightStartCurve2Out | Track | Ice
RoadTechDiagRightLoop6X | Track | Tech
RoadTechDiagRightLoop11X | Track | Tech
RallyCastleRoadDiagSwitchCurve1Out | Track | Rally
